Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Mon Apr 1 2024,7:00p,Boston Celtics,118,Charlotte Hornets,104,Box Score,,19238,1:54,Spectrum Center,
Mon Apr 1 2024,7:00p,Memphis Grizzlies,110,Detroit Pistons,108,Box Score,,19999,2:08,Little Caesars Arena,
Mon Apr 1 2024,7:00p,Brooklyn Nets,111,Indiana Pacers,133,Box Score,,16522,2:20,Gainbridge Fieldhouse,
Mon Apr 1 2024,7:00p,Portland Trail Blazers,103,Orlando Magic,104,Box Score,,19004,2:11,Kia Center,
Mon Apr 1 2024,8:00p,Atlanta Hawks,113,Chicago Bulls,101,Box Score,,21114,2:07,United Center,
Mon Apr 1 2024,8:00p,Phoenix Suns,124,New Orleans Pelicans,111,Box Score,,17753,2:14,Smoothie King Center,
Tue Apr 2 2024,7:00p,Los Angeles Lakers,128,Toronto Raptors,111,Box Score,,19800,2:06,Scotiabank Arena,
Tue Apr 2 2024,7:00p,Milwaukee Bucks,113,Washington Wizards,117,Box Score,,16492,2:13,Capital One Arena,
Tue Apr 2 2024,7:30p,New York Knicks,99,Miami Heat,109,Box Score,,19857,2:16,Kaseya Center,
Tue Apr 2 2024,7:30p,Oklahoma City Thunder,105,Philadelphia 76ers,109,Box Score,,20733,2:22,Wells Fargo Center,
Tue Apr 2 2024,8:00p,Houston Rockets,106,Minnesota Timberwolves,113,Box Score,,18024,2:13,Target Center,
Tue Apr 2 2024,9:00p,San Antonio Spurs,105,Denver Nuggets,110,Box Score,,19741,2:10,Ball Arena,
Tue Apr 2 2024,9:00p,Cleveland Cavaliers,129,Utah Jazz,113,Box Score,,18206,2:05,Delta Center,
Tue Apr 2 2024,10:00p,Dallas Mavericks,100,Golden State Warriors,104,Box Score,,18064,2:20,Chase Center,
Tue Apr 2 2024,10:00p,Los Angeles Clippers,95,Sacramento Kings,109,Box Score,,17832,2:12,Golden 1 Center,
Wed Apr 3 2024,7:00p,Portland Trail Blazers,89,Charlotte Hornets,86,Box Score,,14209,2:06,Spectrum Center,
Wed Apr 3 2024,7:00p,Los Angeles Lakers,125,Washington Wizards,120,Box Score,,20333,2:14,Capital One Arena,
Wed Apr 3 2024,7:30p,Detroit Pistons,113,Atlanta Hawks,121,Box Score,,17899,2:07,State Farm Arena,
Wed Apr 3 2024,7:30p,Oklahoma City Thunder,100,Boston Celtics,135,Box Score,,19156,2:14,TD Garden,
Wed Apr 3 2024,7:30p,Indiana Pacers,111,Brooklyn Nets,115,Box Score,,17732,2:15,Barclays Center,
